"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"광진구","주택_계[호]","호","79393","82691","84316","85638","89132","89832","91432","93555","95286","95631",
"광진구","주택_단독주택[호]","호","17034","16566","16297","16002","15786","15332","15096","14901","14861","14749",
"광진구","주택_아파트[호]","호","29880","30401","30301","30425","32089","32135","32571","33862","35072","35199",
"광진구","주택_연립주택[호]","호","4434","4293","4249","4152","4068","4054","4119","4158","4173","4212",
"광진구","주택_다세대주택[호]","호","26561","30003","31970","33565","35697","36858","38226","39240","39797","40082",
"광진구","주택_비주거용 건물 내 주택[호]","호","1484","1428","1499","1494","1492","1453","1420","1394","1383","1389",
"광진구","주택 이외의 거처_계[호]","호","4721","4933","6121","6580","6931","8065","8880","9534","10161","10511",
"동대문구","총인구[명]","명","364787","359935","357380","358141","355094","351057","348201","350709","355999","355789",
"동대문구","남자[명]","명","181189","178285","176460","176323","174161","171484","169409","169670","171927","171604",
"동대문구","여자[명]","명","183598","181650","180920","181818","180933","179573","178792","181039","184072","184185",
"동대문구","내국인-계[명]","명","349957","343744","339438","338293","334045","331833","329092","328651","332745","332325",
"동대문구","내국인-남자[명]","명","174710","171397","168977","167999","165309","163507","161761","161239","162910","162325",
"동대문구","내국인-여자[명]","명","175247","172347","170461","170294","168736","168326","167331","167412","169835","170000",
"동대문구","외국인-계[명]","명","14830","16191","17942","19848","21049","19224","19109","22058","23254","23464",
"동대문구","외국인-남자[명]","명","6479","6888","7483","8324","8852","7977","7648","8431","9017","9279",
"동대문구","외국인-여자[명]","명","8351","9303","10459","11524","12197","11247","11461","13627","14237","14185",
"동대문구","가구-계[가구]","가구","153362","152538","153187","155542","157662","158899","162315","166787","171039","172439",
"동대문구","일반가구[가구]","가구","146677","145179","145294","146974","148349","150373","153246","155912","159457","160767",
"동대문구","집단가구[가구]","가구","134","103","134","158","126","131","146","124","154","146",
"동대문구","외국인가구[가구]","가구","6551","7256","7759","8410","9187","8395","8923","10751","11428","11526",
"동대문구","주택_계[호]","호","98203","96464","97891","100802","104821","103520","104287","106441","110169","110761",
"동대문구","주택_단독주택[호]","호","20799","20325","19954","19484","18990","17120","16388","16110","16085","16011",
"동대문구","주택_아파트[호]","호","59534","57350","58161","60386","64081","65033","66512","68445","71810","72215",
"동대문구","주택_연립주택[호]","호","3740","3411","3251","3181","3280","3274","3287","3298","3301","3378",
"동대문구","주택_다세대주택[호]","호","12529","13770","14866","16093","16834","16511","16569","17090","17465","17662",
"동대문구","주택_비주거용 건물 내 주택[호]","호","1601","1608","1659","1658","1636","1582","1531","1498","1508","1495",
"동대문구","주택 이외의 거처_계[호]","호","6802","7575","8293","8192","8791","11084","12907","14168","15596","16977",
"중랑구","총인구[명]","명","403237","399317","396892","391668","386331","385663","380307","379127","376621","375066",
"중랑구","남자[명]","명","199936","197875","196346","193599","190531","189537","186364","185196","183685","182365",
"중랑구","여자[명]","명","203301","201442","200546","198069","195800","196126","193943","193931","192936","192701",
"중랑구","내국인-계[명]","명","397487","393547","390879","385082","379240","378258","373443","372054","368837","366785",
"중랑구","내국인-남자[명]","명","197499","195451","193871","190871","187569","186593","183625","182393","180565","179012",
"중랑구","내국인-여자[명]","명","199988","198096","197008","194211","191671","191665","189818","189661","188272","187773",
"중랑구","외국인-계[명]","명","5750","5770","6013","6586","7091","7405","6864","7073","7784","8281",
"중랑구","외국인-남자[명]","명","2437","2424","2475","2728","2962","2944","2739","2803","3120","3353",
"중랑구","외국인-여자[명]","명","3313","3346","3538","3858","4129","4461","4125","4270","4664","4928",
"중랑구","가구-계[가구]","가구","160043","159920","161432","162039","163422","167617","170021","173424","174863","176740",
"중랑구","일반가구[가구]","가구","157537","157571","159035","159444","160776","164832","167260","170544","171823","173326",
"중랑구","집단가구[가구]","가구","68","43","62","59","54","49","67","65","68","75",
"중랑구","외국인가구[가구]","가구","2438","2306","2335","2536","2592","2736","2694","2815","2972","3339",
"중랑구","주택_계[호]","호","99265","102387","103740","105691","107997","112364","114488","118357","119961","120876",
"중랑구","주택_단독주택[호]","호","21155","20430","19669","19208","18891","18560","17995","17751","17698","17628",
"중랑구","주택_아파트[호]","호","50078","50343","51031","51475","52162","55499","56651","59121","59984","60832",
"중랑구","주택_연립주택[호]","호","4943","4850","4578","4451","4440","4466","4423","4466","4465","4247",
"중랑구","주택_다세대주택[호]","호","21543","25272","26949","29040","30958","32303","33916","35535","36336","36690",
"중랑구","주택_비주거용 건물 내 주택[호]","호","1546","1492","1513","1517","1546","1536","1503","1484","1478","1479",
"중랑구","주택 이외의 거처_계[호]","호","2564","2888","3327","3513","3882","4471","4787","5382","5842","6924",
"성북구","총인구[명]","명","456844","451800","445417","438734","445327","438833","435509","436113","432874","429210",
"성북구","남자[명]","명","221861","218606","215068","211204","213832","209682","207428","207284","205261","203170",
"성북구","여자[명]","명","234983","233194","230349","227530","231495","229151","228081","228829","227613","226040",
"성북구","내국인-계[명]","명","445710","439623","432226","424211","429775","425295","422428","421015","417166","413325",
"성북구","내국인-남자[명]","명","216872","213250","209374","205031","207211","204207","202349","201519","199341","197143",
"성북구","내국인-여자[명]","명","228838","226373","222852","219180","222564","221088","220079","219496","217825","216182",
"성북구","외국인-계[명]","명","11134","12177","13191","14523","15552","13538","13081","15098","15708","15885",
"성북구","외국인-남자[명]","명","4989","5356","5694","6173","6621","5475","5079","5765","5920","6027",
"성북구","외국인-여자[명]","명","6145","6821","7497","8350","8931","8063","8002","9333","9788","9858",
"성북구","가구-계[가구]","가구","178717","179278","178276","177489","182594","184871","187246","190541","191164","191165",
"성북구","일반가구[가구]","가구","174257","174370","172973","171943","176729","179660","181827","183972","184404","184228",
"성북구","집단가구[가구]","가구","168","153","183","183","162","192","224","227","215","224",
"성북구","외국인가구[가구]","가구","4292","4755","5120","5363","5703","5019","5195","6342","6545","6713",
"성북구","주택_계[호]","호","128046","128502","130766","129994","136437","138621","140138","142602","143240","143758",
"성북구","주택_단독주택[호]","호","27180","25928","25457","24207","23156","22520","21661","20892","20848","20723",
"성북구","주택_아파트[호]","호","69725","69981","71571","71754","77457","79206","80967","83701","83728","84332",
"성북구","주택_연립주택[호]","호","6518","6376","6321","6097","6044","6262","6230","6146","6362","6391",
"성북구","주택_다세대주택[호]","호","23097","24748","25902","26446","28315","29213","29900","30510","30957","30976",
"성북구","주택_비주거용 건물 내 주택[호]","호","1526","1469","1515","1490","1465","1420","1380","1353","1345","1336",
"성북구","주택 이외의 거처_계[호]","호","2965","3159","3385","3378","3474","3730","4115","4192","4275","4281",
"강북구","총인구[명]","명","319992","316212","313698","309138","303871","299535","292611","287788","284155","280470",
