행정구역별(읍면동),항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년,Unnamed: 13
원미구,총인구[명],명,440396.0,,,,,,,,,401522.0,
소사구,총인구[명],명,221553.0,,,,,,,,,240865.0,
오정구,총인구[명],명,181845.0,,,,,,,,,151695.0,
광명시,총인구[명],명,338509.0,334361.0,328253.0,323460.0,313462.0,298116.0,290345.0,284031.0,275397.0,272371.0,
평택시,총인구[명],명,457873.0,472254.0,486077.0,504485.0,521172.0,542522.0,571838.0,590205.0,605678.0,615755.0,
동두천시,총인구[명],명,97424.0,98625.0,97373.0,97535.0,96541.0,95239.0,94912.0,94142.0,91301.0,89466.0,
안산시,총인구[명],명,747035.0,743072.0,733661.0,720105.0,714650.0,717345.0,718384.0,715088.0,709147.0,701551.0,
상록구,총인구[명],명,383508.0,382533.0,379209.0,367063.0,356620.0,359979.0,364309.0,362147.0,355957.0,348328.0,
단원구,총인구[명],명,363527.0,360539.0,354452.0,353042.0,358030.0,357366.0,354075.0,352941.0,353190.0,353223.0,
고양시,총인구[명],명,990073.0,999098.0,1005102.0,1006992.0,1024645.0,1045497.0,1049513.0,1044242.0,1047592.0,1044968.0,
덕양구,총인구[명],명,425100.0,430013.0,433606.0,436865.0,448571.0,460881.0,468756.0,473370.0,484424.0,482446.0,
일산동구,총인구[명],명,277925.0,281635.0,284692.0,287473.0,287041.0,292616.0,293014.0,290321.0,285959.0,288578.0,
일산서구,총인구[명],명,287048.0,287450.0,286804.0,282654.0,289033.0,292000.0,287743.0,280551.0,277209.0,273944.0,
과천시,총인구[명],명,64817.0,60923.0,53583.0,53740.0,53830.0,58018.0,65880.0,73406.0,76824.0,81213.0,
구리시,총인구[명],명,180063.0,183905.0,189741.0,195868.0,192270.0,192051.0,187798.0,184114.0,183048.0,182102.0,
남양주시,총인구[명],명,629061.0,641589.0,644936.0,661866.0,681077.0,696033.0,713549.0,719886.0,716123.0,718385.0,
